business_retailsales	1
340	4b0
-18.6	4b1
321.4	4b2
92.5	4b3
90.65	4b4
243.59	4b5
500.4	4b6
1925	4b7
1907.5	4b8
603	4b9
-39.6	4ba
356.4	4bb
332.5	4bc
622	4bd
-94.6	4be
527.4	4bf
90.4	4c0
665	4c1
91.21	4c2
302	4c3
-23.4	4c4
278.6	4c5
600	4c6
-15	4c7
585	4c8
950	4c9
932.4	4ca
78.75	4cb
-26.25	4cc
648	4cd
626.4	4ce
288.8	4cf
-46.2	4d0
1213.8	4d1
766.52	4d2
720	4d3
710.4	4d4
74.4	4d5
645	4d6
-4.15	4d7
640.85	4d8
-1.81	4d9
16.19	4da
-7.79	4db
146.21	4dc
278.4	4dd
174.6	4de
55.5	4df
526	4e0
513.4	4e1
266	4e2
224.2	4e3
77.6	4e4
33	4e5
1584	4e6
-67.17	4e7
1516.83	4e8
81.6	4e9
37.81	4ea
114.4	4eb
574	4ec
-8.2	4ed
565.8	4ee
139	4ef
875	4f0
857.5	4f1
-10.6	4f2
221.4	4f3
193	4f4
179.2	4f5
174.08	4f6
121.6	4f7
265.2	4f8
486	4f9
480.6	4fa
-106.25	4fb
565	4fc
384	4fd
371.2	4fe
183	4ff
180.9	500
442.4	501
194.4	502
business_retailsales2	503
June	504
2017	505
9621.5	506
-234.45	507
9369.55	508
1204.32	509
10573.87	50a
March	50b
2018	50c
7442.7	50d
-226.82	50e
7207.08	50f
1226.92	510
8434	511
May	512
7493.9	513
-221.25	514
-1448.02	515
5824.63	516
1234.95	517
7059.58	518
January	519
73	51a
8861.5	51b
-129.4	51c
-448.45	51d
8283.65	51e
1088.3	51f
9371.95	520
August	521
2019	522
8839.5	523
-201.67	524
-84.37	525
8553.46	526
1724.75	527
10278.21	528
7698.7	529
-140.57	52a
-197.35	52b
7360.78	52c
1404.03	52d
8764.81	52e
September	52f
79	530
10582.85	531
-276.15	532
10306.7	533
1634.33	534
11941.03	535
13260.8	536
-335.4	537
-1506.53	538
11418.87	539
2124.49	53a
13543.36	53b
December	53c
13683.5	53d
-371.2	53e
-928.35	53f
12383.95	540
2552.2	541
14936.15	542
February	543
6908.5	544
-104.7	545
-416.2	546
6387.6	547
892.45	548
7280.05	549
July	54a
9739.2	54b
-447.07	54c
-908.75	54d
8383.38	54e
1631.4	54f
10014.78	550
October	551
9132.25	552
-279.42	553
-1572.55	554
7280.28	555
1631.25	556
8911.53	557
7075	558
-61.7	559
-281	55a
6732.3	55b
907.32	55c
7639.62	55d
November	55e
12002.7	55f
-414.45	560
-154.4	561
11433.85	562
2237.05	563
13670.9	564
6529.2	565
-161.35	566
-118.15	567
6249.7	568
908.91	569
7158.61	56a
April	56b
8814	56c
-281.4	56d
8532.6	56e
1068.3	56f
9600.9	570
9406.35	571
-232.28	572
-40	573
9134.07	574
1387.56	575
10521.63	576
6977	577
-285.4	578
6681.6	579
1342.45	57a
8024.05	57b
9274.95	57c
-237.87	57d
-689.98	57e
8347.1	57f
1627.03	580
9974.13	581
63	582
6523.7	583
-288.7	584
-38.7	585
6196.3	586
1121.85	587
7318.15	588
13025	589
-131.3	58a
-323.85	58b
12569.85	58c
1555.1	58d
14124.95	58e
7321.75	58f
-186.02	590
-165.4	591
6970.33	592
1356.8	593
8327.13	594
13075.5	595
-439.85	596
-981	597
11654.65	598
2115.1	599
13769.75	59a
23997.9	59b
-776.84	59c
-364.51	59d
22856.55	59e
4824.75	59f
27681.3	5a0
83	5a1
8923	5a2
-217.1	5a3
8679.65	5a4
1180.18	5a5
9859.83	5a6
7811.75	5a7
-261.97	5a8
-1250.35	5a9
6299.43	5aa
1313.78	5ab
7615.91	5ac
5720	5ad
-305	5ae
5327	5af
695.42	5b0
6022.42	5b1
71	5b2
7014.5	5b3
-277.95	5b4
-294.75	5b5
6441.8	5b6
1262.45	5b7
7704.25	5b8
10356.05	5b9
-149.85	5ba
-414.2	5bb
9792	5bc
1340.85	5bd
11132.85	5be
8025	5bf
-258.9	5c0
7740.1	5c1
843.46	5c2
8583.56	5c3
6480	5c4
-51.5	5c5
-469.2	5c6
5959.3	5c7
807.36	5c8
6766.66	5c9
31183.9	5ca
-2269.51	5cb
-1311.18	5cc
27603.21	5cd
5703.25	5ce
33306.46	5cf
9077.45	5d0
-354.89	5d1
-853.35	5d2
7869.21	5d3
1567.65	5d4
9436.86	5d5
5778.5	5d6
-172.2	5d7
-1017.2	5d8
4589.1	5d9
707.43	5da
5296.53	5db
6677	5dc
-185.75	5dd
-253.8	5de
6237.45	5df
866.46	5e0
7103.91	5e1
10082.25	5e2
-460.9	5e3
-173.35	5e4
9448	5e5
1768.2	5e6
11216.2	5e7
